date;bitstamp;itbit;gdax;kraken;localbtc
2017-04-20;1232.42;1232.07;1239.49;1237.4;1642
2017-04-19;1203.98;1209.4;1205.09;1207;1614
2017-04-18;1202.58;1201.27;1200.6;1209;1872.38
2017-04-17;1176.54;1194.98;1190.6;1200;1256.43
2017-04-16;1162.31;1179;1179.75;1180.939;1240.94
2017-04-15;1173.45;1178.8;1182.99;1189.33;1655.89
2017-04-14;1170.34;1176;1180.79;1184.951;1597.64
2017-04-13;1172.91;1178.28;1169.03;1168.013;1555.49
2017-04-12;1212.17;1215.83;1216.29;1216.2;1272.87
2017-04-11;1218.99;1224.5;1225.92;1227.3;1651
2017-04-10;1209.25;1213.37;1202.44;1205.799;1315.93
2017-04-09;1206.2;1208.15;1207.99;1212.135;1466.81
2017-04-08;1184.03;1183.63;1183;1179.999;1590.33
2017-04-07;1190.66;1192.14;1198;1202.17;1252.75
2017-04-06;1190.85;1190.76;1199.99;1198.985;1167.82
2017-04-05;1134.58;1134.05;1127.71;1130.857;1524
2017-04-04;1143;1142.51;1142.19;1136.642;1477.92
2017-04-03;1144.77;1147.05;1154.82;1153.86;1431.75
2017-04-02;1078.01;1102.25;1111.59;1109.029;1389
2017-04-01;1083.94;1089.49;1080.27;1077.94;1409
2017-03-31;1070.31;1079.22;1079.34;1070.86;1119.74
2017-03-30;1033.7;1038.3;1036.72;1035.448;2006.93
2017-03-29;1035.96;1039.61;1040.75;1040.17;1321
2017-03-28;1043.99;1044.48;1031.57;1029.515;1091.96
2017-03-27;1039.92;1040.13;1026.87;1020.7;1076.53
2017-03-26;960;933.94;979.7;967.275;1384.9
2017-03-25;956.02;963.01;944.47;939.173;1311.49
2017-03-24;929.06;934.51;963.04;961.029;1199
2017-03-23;1029.65;1029;1036.59;1041.3;1399
2017-03-22;1037.56;1037.09;1009.9;1005.99;1389
2017-03-21;1114.39;1113.21;1095.72;1087.222;1521.81
2017-03-20;1035.96;1040.21;1027.44;1020.344;1083
2017-03-19;1017.97;1015.82;1054.29;1022.029;1117
2017-03-18;969.4;966.86;946.97;943.779;1414
2017-03-17;1071.02;1069.8;1110.02;1080.184;1548
2017-03-16;1172.62;1175.86;1152.76;1147.04;1503
2017-03-15;1257.32;1259.34;1252.64;1249.999;1727.87
2017-03-14;1245.86;1245.32;1253.99;1251.495;1247.42
2017-03-13;1242.46;1246.16;1247;1225.1;1618.78
2017-03-12;1226.62;1231.06;1231.88;1219.429;1569.86
2017-03-11;1176.55;1182.5;1178;1163.043;1650.17
2017-03-10;1116.97;1115.21;1290.01;1282.203;1633.99
2017-03-09;1190.89;1192.87;1205.6;1193.039;1650.17
2017-03-08;1150.05;1151.14;1166.82;1161.46;1661.13
2017-03-07;1233.05;1231.56;1243.38;1241;1335.11
2017-03-06;1278.49;1282;1280.43;1274;1360.51
2017-03-05;1273;1283;1273.08;1269.021;1311.19
2017-03-04;1260;1269.41;1267.44;1264;1724.14
2017-03-03;1285.33;1291.39;1279;1274.91;1632.65
2017-03-02;1257.6;1257.3;1279.31;1265.13;1240.52
2017-03-01;1226.39;1226.16;1224.76;1222.242;1282.05
2017-02-28;1191.21;1191.19;1195.08;1187.815;1217.92
2017-02-27;1194.64;1195.17;1194.27;1189.211;1639.34
2017-02-26;1179.05;1181.34;1175.71;1159.755;1618.12
2017-02-25;1152.2;1152.2;1153.83;1148.19;1637.28
2017-02-24;1180.14;1184.47;1170.01;1168.918;1255.62
2017-02-23;1188.11;1178.22;1169.91;1164.99;1639.34
2017-02-22;1130.01;1126.7;1139.85;1138.966;1290.32
2017-02-21;1124.62;1125.66;1118.98;1119.999;1144.96
2017-02-20;1084;1087;1066.46;1061.98;2321.26
2017-02-19;1051.8;1054.26;1056.16;1052.898;1623.38
2017-02-18;1056.4;1061.07;1066.79;1064.296;1703.58
2017-02-17;1055.46;1057.09;1059.69;1062.58;1406.47
2017-02-16;1032.7;1034.42;1038.11;1039.551;1456.31
2017-02-15;1011.53;1012.91;1014.71;1014.516;1070.67
2017-02-14;1008.88;1012.42;1008.38;1010.001;1062.43
2017-02-13;1000.79;1000.36;1001.1;999.991;1078.17
2017-02-12;1000.73;1001.92;1008.74;1001.178;1135.54
2017-02-11;1012.4;1011.27;1016.8;1013.82;1426.53
2017-02-10;996.08;997.76;995.99;994.011;1039.48
2017-02-09;986;990.83;977.98;977.61;1162.79
2017-02-08;1050.4;1053.9;1056.3;1057.259;1105.53
2017-02-07;1052.48;1052.19;1051.33;1049.999;1510.57
2017-02-06;1023.99;1024.27;1024;1026.983;1243.78
2017-02-05;1011.07;1012.67;1014.86;1018.808;1015.04
2017-02-04;1033.18;1032.05;1033.86;1033.408;1409.02
2017-02-03;1016.99;1017.7;1013.7;1008.951;1394.23
2017-02-02;1009.17;1006.97;1001.99;1001.25;1056.2
2017-02-01;983.67;987.52;979.25;979.757;1226.99
2017-01-31;963.99;970.43;956.37;954;945.5
2017-01-30;919.99;921.26;922.73;923.004;954.67
2017-01-29;912.01;915.19;919.76;917.55;977.35
2017-01-28;918.6;920.02;924.99;922.863;1326.26
2017-01-27;918.02;919.58;922.63;921.5;1423.49
2017-01-26;914.83;915;916.27;914.51;1231.53
